cmd:0x04 | len:8 | payload:01 00 00 00 CE 5A 9F 02
cmd:0x04 | len:8 | payload:02 00 00 00 A6 5D 9F 02
cmd:0x04 | len:8 | payload:03 00 00 00 92 5D 9F 02
cmd:0x04 | len:8 | payload:01 00 00 00 DD 9C AE 02
cmd:0x04 | len:8 | payload:02 00 00 00 C6 9F AE 02
cmd:0x04 | len:8 | payload:03 00 00 00 B1 9F AE 02
cmd:0x04 | len:8 | payload:01 00 00 00 ED DE BD 02
cmd:0x04 | len:8 | payload:02 00 00 00 E6 E1 BD 02
cmd:0x04 | len:8 | payload:03 00 00 00 D1 E1 BD 02
cmd:0x04 | len:8 | payload:03 00 00 00 F0 23 CD 02
cmd:0x04 | len:8 | payload:01 00 00 00 FC 20 CD 02
cmd:0x04 | len:8 | payload:02 00 00 00 06 24 CD 02
cmd:0x04 | len:8 | payload:02 00 00 00 29 66 DC 02
cmd:0x04 | len:8 | payload:01 00 00 00 0F 63 DC 02
cmd:0x04 | len:8 | payload:03 00 00 00 13 66 DC 02
cmd:0x04 | len:8 | payload:02 00 00 00 4A A8 EB 02
cmd:0x04 | len:8 | payload:01 00 00 00 1E A5 EB 02
cmd:0x04 | len:8 | payload:03 00 00 00 33 A8 EB 02
cmd:0x04 | len:8 | payload:01 00 00 00 32 E7 FA 02
cmd:0x04 | len:8 | payload:02 00 00 00 6D EA FA 02
cmd:0x04 | len:8 | payload:03 00 00 00 56 EA FA 02
cmd:0x04 | len:8 | payload:01 00 00 00 3D 29 0A 03
cmd:0x04 | len:8 | payload:02 00 00 00 8A 2C 0A 03
cmd:0x04 | len:8 | payload:03 00 00 00 72 2C 0A 03
cmd:0x04 | len:8 | payload:01 00 00 00 52 6B 19 03
cmd:0x04 | len:8 | payload:02 00 00 00 B0 6E 19 03
cmd:0x04 | len:8 | payload:03 00 00 00 98 6E 19 03
cmd:0x04 | len:8 | payload:01 00 00 00 62 AD 28 03
cmd:0x04 | len:8 | payload:02 00 00 00 CF B0 28 03
cmd:0x04 | len:8 | payload:03 00 00 00 B7 B0 28 03
cmd:0x04 | len:8 | payload:01 00 00 00 74 EF 37 03
cmd:0x04 | len:8 | payload:02 00 00 00 F2 F2 37 03
cmd:0x04 | len:8 | payload:03 00 00 00 D9 F2 37 03
cmd:0x04 | len:8 | payload:01 00 00 00 84 31 47 03
cmd:0x04 | len:8 | payload:02 00 00 00 12 35 47 03
cmd:0x04 | len:8 | payload:03 00 00 00 F9 34 47 03
cmd:0x04 | len:8 | payload:02 00 00 00 31 77 56 03
cmd:0x04 | len:8 | payload:01 00 00 00 92 73 56 03
cmd:0x04 | len:8 | payload:03 00 00 00 17 77 56 03
cmd:0x04 | len:8 | payload:01 00 00 00 A2 B5 65 03
cmd:0x04 | len:8 | payload:02 00 00 00 52 B9 65 03
cmd:0x04 | len:8 | payload:03 00 00 00 37 B9 65 03
cmd:0x04 | len:8 | payload:03 00 00 00 5B FB 74 03
cmd:0x04 | len:8 | payload:01 00 00 00 B6 F7 74 03
cmd:0x04 | len:8 | payload:02 00 00 00 76 FB 74 03
cmd:0x04 | len:8 | payload:02 00 00 00 99 3D 84 03
cmd:0x04 | len:8 | payload:01 00 00 00 C8 39 84 03
cmd:0x04 | len:8 | payload:03 00 00 00 7E 3D 84 03
cmd:0x04 | len:8 | payload:03 00 00 00 9F 7F 93 03
cmd:0x04 | len:8 | payload:01 00 00 00 D9 7B 93 03
cmd:0x04 | len:8 | payload:02 00 00 00 BA 7F 93 03
cmd:0x04 | len:8 | payload:02 00 00 00 DC C1 A2 03
cmd:0x04 | len:8 | payload:01 00 00 00 EA BD A2 03
cmd:0x04 | len:8 | payload:03 00 00 00 C0 C1 A2 03
cmd:0x04 | len:8 | payload:01 00 00 00 F9 FF B1 03
cmd:0x04 | len:8 | payload:02 00 00 00 FC 03 B2 03
cmd:0x04 | len:8 | payload:03 00 00 00 DF 03 B2 03
cmd:0x04 | len:8 | payload:01 00 00 00 0B 42 C1 03
cmd:0x04 | len:8 | payload:02 00 00 00 1E 46 C1 03
cmd:0x04 | len:8 | payload:03 00 00 00 01 46 C1 03
cmd:0x04 | len:8 | payload:01 00 00 00 1A 84 D0 03
cmd:0x04 | len:8 | payload:02 00 00 00 3E 88 D0 03
cmd:0x04 | len:8 | payload:03 00 00 00 20 88 D0 03
cmd:0x04 | len:8 | payload:01 00 00 00 2B C6 DF 03
cmd:0x04 | len:8 | payload:02 00 00 00 5F CA DF 03
cmd:0x04 | len:8 | payload:03 00 00 00 41 CA DF 03
cmd:0x04 | len:8 | payload:01 00 00 00 3B 08 EF 03
cmd:0x04 | len:8 | payload:02 00 00 00 80 0C EF 03
cmd:0x04 | len:8 | payload:03 00 00 00 61 0C EF 03
cmd:0x04 | len:8 | payload:02 00 00 00 9F 4E FE 03
cmd:0x04 | len:8 | payload:01 00 00 00 4A 4A FE 03
cmd:0x04 | len:8 | payload:03 00 00 00 80 4E FE 03
cmd:0x04 | len:8 | payload:01 00 00 00 5E 8C 0D 04
cmd:0x04 | len:8 | payload:02 00 00 00 C4 90 0D 04
cmd:0x04 | len:8 | payload:03 00 00 00 A4 90 0D 04
cmd:0x04 | len:8 | payload:03 00 00 00 C6 D2 1C 04
cmd:0x04 | len:8 | payload:01 00 00 00 70 CE 1C 04
cmd:0x04 | len:8 | payload:02 00 00 00 E6 D2 1C 04
cmd:0x04 | len:8 | payload:01 00 00 00 7E 10 2C 04
cmd:0x04 | len:8 | payload:02 00 00 00 06 15 2C 04
cmd:0x04 | len:8 | payload:03 00 00 00 E5 14 2C 04
cmd:0x04 | len:8 | payload:02 00 00 00 25 57 3B 04
cmd:0x04 | len:8 | payload:01 00 00 00 8D 52 3B 04
cmd:0x04 | len:8 | payload:03 00 00 00 05 57 3B 04
cmd:0x04 | len:8 | payload:02 00 00 00 47 99 4A 04
cmd:0x04 | len:8 | payload:01 00 00 00 9E 94 4A 04
cmd:0x04 | len:8 | payload:03 00 00 00 25 99 4A 04
cmd:0x04 | len:8 | payload:02 00 00 00 69 DB 59 04
cmd:0x04 | len:8 | payload:01 00 00 00 B0 D6 59 04
cmd:0x04 | len:8 | payload:03 00 00 00 48 DB 59 04
cmd:0x04 | len:8 | payload:02 00 00 00 8C 1D 69 04
cmd:0x04 | len:8 | payload:01 00 00 00 C2 18 69 04
cmd:0x04 | len:8 | payload:03 00 00 00 6A 1D 69 04
cmd:0x04 | len:8 | payload:01 00 00 00 CF 5A 78 04
cmd:0x04 | len:8 | payload:02 00 00 00 AA 5F 78 04
cmd:0x04 | len:8 | payload:03 00 00 00 87 5F 78 04
cmd:0x04 | len:8 | payload:01 00 00 00 E2 9C 87 04
cmd:0x04 | len:8 | payload:02 00 00 00 CD A1 87 04
cmd:0x04 | len:8 | payload:03 00 00 00 AA A1 87 04
cmd:0x04 | len:8 | payload:01 00 00 00 F0 DE 96 04
cmd:0x04 | len:8 | payload:02 00 00 00 EC E3 96 04
cmd:0x04 | len:8 | payload:03 00 00 00 C8 E3 96 04
cmd:0x04 | len:8 | payload:01 00 00 00 03 21 A6 04
cmd:0x04 | len:8 | payload:02 00 00 00 0F 26 A6 04
cmd:0x04 | len:8 | payload:03 00 00 00 EB 25 A6 04
cmd:0x04 | len:8 | payload:02 00 00 00 32 68 B5 04
cmd:0x04 | len:8 | payload:01 00 00 00 15 63 B5 04
cmd:0x04 | len:8 | payload:03 00 00 00 0D 68 B5 04
cmd:0x04 | len:8 | payload:01 00 00 00 24 A5 C4 04
cmd:0x04 | len:8 | payload:02 00 00 00 51 AA C4 04
cmd:0x04 | len:8 | payload:03 00 00 00 2C AA C4 04
cmd:0x04 | len:8 | payload:02 00 00 00 73 EC D3 04
cmd:0x04 | len:8 | payload:01 00 00 00 35 E7 D3 04
cmd:0x04 | len:8 | payload:03 00 00 00 4D EC D3 04
cmd:0x04 | len:8 | payload:01 00 00 00 43 29 E3 04
cmd:0x04 | len:8 | payload:02 00 00 00 91 2E E3 04
cmd:0x04 | len:8 | payload:03 00 00 00 6B 2E E3 04
cmd:0x04 | len:8 | payload:02 00 00 00 B7 70 F2 04
cmd:0x04 | len:8 | payload:01 00 00 00 58 6B F2 04
cmd:0x04 | len:8 | payload:03 00 00 00 90 70 F2 04
cmd:0x04 | len:8 | payload:02 00 00 00 D6 B2 01 05
cmd:0x04 | len:8 | payload:01 00 00 00 67 AD 01 05
cmd:0x04 | len:8 | payload:03 00 00 00 AF B2 01 05
cmd:0x04 | len:8 | payload:01 00 00 00 79 EF 10 05
cmd:0x04 | len:8 | payload:02 00 00 00 F9 F4 10 05
cmd:0x04 | len:8 | payload:03 00 00 00 D1 F4 10 05
cmd:0x04 | len:8 | payload:03 00 00 00 F2 36 20 05
cmd:0x04 | len:8 | payload:01 00 00 00 89 31 20 05
cmd:0x04 | len:8 | payload:02 00 00 00 19 37 20 05
cmd:0x04 | len:8 | payload:03 00 00 00 0F 79 2F 05
cmd:0x04 | len:8 | payload:01 00 00 00 96 73 2F 05
cmd:0x04 | len:8 | payload:02 00 00 00 37 79 2F 05
cmd:0x04 | len:8 | payload:02 00 00 00 5D BB 3E 05
cmd:0x04 | len:8 | payload:01 00 00 00 AC B5 3E 05
cmd:0x04 | len:8 | payload:03 00 00 00 35 BB 3E 05
cmd:0x04 | len:8 | payload:01 00 00 00 B9 F7 4D 05
cmd:0x04 | len:8 | payload:02 00 00 00 7B FD 4D 05
cmd:0x04 | len:8 | payload:03 00 00 00 52 FD 4D 05
cmd:0x04 | len:8 | payload:03 00 00 00 72 3F 5D 05
cmd:0x04 | len:8 | payload:01 00 00 00 C8 39 5D 05
cmd:0x04 | len:8 | payload:02 00 00 00 9B 3F 5D 05
cmd:0x04 | len:8 | payload:01 00 00 00 F4 7B 6C 05
cmd:0x04 | len:8 | payload:02 00 00 00 D8 81 6C 05
cmd:0x04 | len:8 | payload:03 00 00 00 AE 81 6C 05
cmd:0x04 | len:8 | payload:01 00 00 00 05 BE 7B 05
cmd:0x04 | len:8 | payload:02 00 00 00 F9 C3 7B 05
